书籍路径,toc.md中的标题,缺失文件的完整路径
"algorithm/competitive-programming","质数筛法（埃氏筛、欧拉筛）","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\number-theory\prime-sieve.md"
"algorithm/competitive-programming","质因数分解","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\number-theory\prime-factorization.md"
"algorithm/competitive-programming","最大公约数与最小公倍数","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\number-theory\gcd-lcm.md"
"algorithm/competitive-programming","扩展欧几里得算法","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\number-theory\extended-gcd.md"
"algorithm/competitive-programming","模运算与同余","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\number-theory\modular-arithmetic.md"
"algorithm/competitive-programming","快速幂与矩阵快速幂","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\number-theory\fast-power.md"
"algorithm/competitive-programming","乘法逆元","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\number-theory\modular-inverse.md"
"algorithm/competitive-programming","中国剩余定理","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\number-theory\chinese-remainder-theorem.md"
"algorithm/competitive-programming","欧拉函数","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\number-theory\euler-totient.md"
"algorithm/competitive-programming","费马小定理与威尔逊定理","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\number-theory\fermat-wilson.md"
"algorithm/competitive-programming","排列与组合基础","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\combinatorics\permutation-combination.md"
"algorithm/competitive-programming","组合数计算与 Lucas 定理","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\combinatorics\lucas-theorem.md"
"algorithm/competitive-programming","卡特兰数","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\combinatorics\catalan-number.md"
"algorithm/competitive-programming","斯特林数","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\combinatorics\stirling-number.md"
"algorithm/competitive-programming","贝尔数与划分数","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\combinatorics\bell-partition.md"
"algorithm/competitive-programming","容斥原理","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\combinatorics\inclusion-exclusion.md"
"algorithm/competitive-programming","鸽巢原理","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\combinatorics\pigeonhole-principle.md"
"algorithm/competitive-programming","生成函数入门","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\combinatorics\generating-functions.md"
"algorithm/competitive-programming","Burnside 引理与 Polya 定理","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\combinatorics\burnside-polya.md"
"algorithm/competitive-programming","概率与期望","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\combinatorics\probability-expectation.md"
"algorithm/competitive-programming","博弈论进阶概述","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\game-theory\advanced-game-overview.md"
"algorithm/competitive-programming","SG 函数与 Sprague-Grundy 定理","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\game-theory\sg-function.md"
"algorithm/competitive-programming","Nim 游戏变种","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\game-theory\nim-variants.md"
"algorithm/competitive-programming","组合博弈的 SG 值计算","E:\CoderBooks\src\books\algorithm\competitive-programming\book_zh\game-theory\sg-value-calculation.md"
